date, pm25, pm10, o3, no2, so2, co
2023/8/10, 103, 70, 75, 103, 27, 61
2023/8/11, 118, 68, 68, 96, 20, 43
2023/8/12, 123, 68, 69, 101, 24, 32
2023/8/13, 92, 66, 63, 98, 52, 34
2023/8/14, 95, 75, 90, 75, 36, 60
2023/8/15, 97, 76, 83, 71, 29, 45
2023/8/16, 109, 78, 54, 67, 26, 65
2023/8/17, 130, 72, , 62, 26, 42
2023/8/18, 96, 67, , 66, 20, 56
2023/8/19, 107, 68, , 58, 45, 51
2023/8/20, 97, , , , , 
2023/8/22, 93, 72, , 58, 25, 83
2023/8/23, 107, 75, , 61, 33, 46
2023/8/24, 116, 79, 55, 67, 40, 73
2023/8/25, 128, 76, , 39, 23, 62
2023/8/26, 116, 174, 75, 29, 19, 31
2023/8/27, 155, 88, , 30, 30, 35
2023/8/28, 99, 64, , 34, 38, 40
2023/8/29, 81, 78, , 39, 18, 38
2023/8/30, 88, 111, 56, 36, 20, 34
2023/8/31, 108, 67, , 20, 29, 39
2023/9/1, 85, 74, 56, 25, 30, 51
2023/9/2, 99, 73, 61, 39, 28, 37
2023/9/3, 95, , , , , 
2023/9/18, 82, 87, , 48, 20, 33
2023/9/19, 89, 88, , 81, 16, 39
2023/9/20, 96, 69, , 67, 18, 47
2023/9/21, 93, 70, , 69, 25, 52
2023/9/22, 94, 66, , 71, 43, 32
2023/9/23, 83, 64, , 73, 29, 36
2023/9/24, 75, , , , , 
2023/9/30, 90, 60, , 79, 19, 40
2023/4/1, 27, 34, , 42, 4, 8
2023/4/2, 25, 53, , 62, 9, 15
2023/4/3, 63, 44, , 59, 10, 14
2023/4/4, 54, 52, , 69, 11, 23
2023/4/5, 56, 59, , 87, 23, 33
2023/4/6, 61, 62, , 71, 23, 19
2023/4/7, 64, 56, , 67, 10, 16
2023/4/8, 63, 75, , 51, 9, 13
2023/4/9, 78, 81, , 77, 13, 19
2023/4/10, 91, 80, , 82, 15, 28
2023/4/11, 85, 71, 53, 68, 11, 32
2023/4/12, 82, 49, 53, 58, 12, 19
2023/4/13, 60, 49, , 59, 8, 35
2023/4/14, 51, 32, , 66, 18, 9
2023/4/15, 34, 55, , 85, 23, 43
2023/4/16, 64, 54, 50, 82, 23, 25
2023/4/17, 58, 60, 50, 78, 19, 25
2023/4/18, 73, 62, 52, 71, 22, 23
2023/4/19, 65, 65, 52, 95, 21, 29
2023/4/20, 72, 60, 59, 89, 18, 27
2023/4/21, 68, 62, 59, 69, 15, 12
2023/4/22, 63, 68, , 50, 5, 10
2023/4/23, 63, 65, , 52, 10, 16
2023/4/24, 62, 60, , 72, 10, 25
2023/4/25, 64, 47, 54, 59, 10, 12
2023/4/26, 55, 58, 54, 73, 13, 13
2023/4/27, 54, 60, 60, 68, 23, 18
2023/4/28, 64, 47, 60, 72, 20, 20
2023/4/29, 50, 48, , 78, 12, 19
2023/4/30, 51, 51, , 65, 9, 12
2023/5/1, 57, 53, , 66, 10, 24
2023/5/2, 52, 44, , 74, 17, 12
2023/5/3, 45, 51, , 64, 7, 11
2023/5/4, 41, 45, , 47, 8, 14
2023/5/5, 50, 54, 53, 74, 21, 37
2023/5/6, 74, 58, 53, 94, 14, 30
2023/5/7, 69, 56, , 101, 15, 51
2023/5/8, 62, 69, 51, 67, 19, 11
2023/5/9, 75, 73, 51, 63, 10, 18
2023/5/10, 91, 63, 61, 74, 8, 39
2023/5/11, 73, 62, 64, 99, 12, 54
2023/5/12, 80, 54, 64, 92, 12, 21
2023/5/13, 64, 69, , 75, 11, 35
2023/5/14, 75, 111, , 50, 10, 12
2023/5/15, 112, 83, , 45, 7, 14
2023/5/16, 71, 59, , 48, 10, 19
2023/5/17, 62, 58, 52, 86, 18, 33
2023/5/18, 67, 67, 52, 71, 18, 
2023/5/19, 84, 64, , 79, 32, 27
2023/5/20, 82, 76, 54, 62, 28, 19
